S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
1,PRADEEP PUROHIT,Bharatiya Janata Party,709606,6753,716359,54.69,1 - Bargarh (Odisha),1 - Bargarh,Odisha
2,PARINITA MISHRA,Biju Janata Dal,463008,1684,464692,35.48,1 - Bargarh (Odisha),1 - Bargarh,Odisha
3,SANJAY BHOI,Indian National Congress,92666,885,93551,7.14,1 - Bargarh (Odisha),1 - Bargarh,Odisha
4,JAYARAM BAGH,Bahujan Samaj Party,9215,107,9322,0.71,1 - Bargarh (Odisha),1 - Bargarh,Odisha
5,GNYANENDRA BEHERA,Independent,4539,24,4563,0.35,1 - Bargarh (Odisha),1 - Bargarh,Odisha
6,DEVIKA SIKA,National Apni Party,4524,14,4538,0.35,1 - Bargarh (Odisha),1 - Bargarh,Odisha
7,PRABHAT KUMAR DHARUA,Independent,4294,4,4298,0.33,1 - Bargarh (Odisha),1 - Bargarh,Odisha
8,NOTA,None of the Above,12414,127,12541,0.96,1 - Bargarh (Odisha),1 - Bargarh,Odisha
1,MANISH TEWARI,Indian National Congress,216350,307,216657,48.22,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
2,SANJAY TANDON,Bharatiya Janata Party,213770,383,214153,47.67,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
3,RITU SINGH,Bahujan Samaj Party,6697,11,6708,1.49,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
4,LAKHVIR SINGH ALIAS KOTLA,Independent,2625,1,2626,0.58,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
5,DEEPANSHU SHARMA,Akhil Bhartiya Parivar Party,1066,2,1068,0.24,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
6,EX-ASSISTANT COMMANDANT RANPREET SINGH,Independent,1051,3,1054,0.23,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
7,VINOD KUMAR,Independent,683,-,683,0.15,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
8,SUNIL THAMAN,Haryana Jansena Party,576,1,577,0.13,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
9,BALJEET SINGH ALIAS LADDI,Independent,434,2,436,0.1,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
10,SUNIL KUMAR,Independent,321,-,321,0.07,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
11,PARTAP SINGH RANA,Independent,306,1,307,0.07,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
12,MAHANT RAVI KANT MUNI,Independent,295,-,295,0.07,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
13,VIVEK SHARMA,Independent,294,-,294,0.07,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
14,PIAR CHAND ALIAS KOUNDAL,Independent,253,2,255,0.06,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
15,KISHOR KUMAR ALIAS BANTI BHAIYA,Independent,239,-,239,0.05,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
16,RAJINDER KAUR,Sainik Samaj Party,215,2,217,0.05,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
17,RAJ PRINCE SINGH,Super Power India Party,205,-,205,0.05,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
18,PUSHPINDER SINGH ALIAS LOVELY ATTAWA,Independent,154,-,154,0.03,1 - Chandigarh (Chandigarh),1 - Chandigarh,Chandigarh
