S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,File Name,Constituency,State
9,KOZHUVASSERIL SURESH,Independent,836,20,856,0.1,16 - Mavelikkara  (Kerala),16 - Mavelikkara,Kerala
10,NOTA,None of the Above,9640,243,9883,1.1,16 - Mavelikkara  (Kerala),16 - Mavelikkara,Kerala
1,MATHESWARAN V S,Dravida Munnetra Kazhagam,457695,4341,462036,40.31,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
2,TAMILMANI S,All India Anna Dravida Munnetra Kazhagam,429358,3566,432924,37.77,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
3,DR RAMALINGAM K P,Bharatiya Janata Party,103577,1113,104690,9.13,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
4,KANIMOZHI G,Naam Tamilar Katchi,94895,682,95577,8.34,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
5,DEEPAN CHAKKRAVARTHI S,Independent,3546,33,3579,0.31,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
6,RAJENDRAN C,Viduthalai Kalam Katchi,2592,7,2599,0.23,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
7,NATARAJAN M,Independent,2565,23,2588,0.23,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
8,RAMESH T,Ahimsa Socialist Party,2412,9,2421,0.21,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
9,EZHIL SELVAN P,Tamilaga Makkal Thannurimai Katchi,2149,16,2165,0.19,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
10,RAMAN V,Bahujan Samaj Party,2137,20,2157,0.19,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
11,UTHAYAKUMAR P,Independent,1899,2,1901,0.17,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
12,KANDASAMY A M,Independent,1510,4,1514,0.13,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
13,RAMASAMY P,Independent,1338,12,1350,0.12,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
14,KARTHI S,Independent,1332,2,1334,0.12,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
15,RAMESH T R,Independent,1317,8,1325,0.12,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
16,SATHEESH G,Independent,1284,8,1292,0.11,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
17,RAMASAMY N,Independent,1243,7,1250,0.11,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
18,MADHESWARAN V,Independent,1144,3,1147,0.1,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
19,DR GURUNATHAN S,Independent,1048,23,1071,0.09,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
20,KARTHIKEYAN S,Independent,918,2,920,0.08,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
21,NALLATHAMBI P,Independent,769,1,770,0.07,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
22,EASWARAMOORTHY M,Independent,758,10,768,0.07,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
23,BALAJICHEZHIAN P,Independent,716,3,719,0.06,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
24,RAVIKUMAR P,Ganasangam Party of India,633,4,637,0.06,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
25,NAVEEN K,Independent,633,2,635,0.06,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
26,DURAIRAJ C,Independent,590,2,592,0.05,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
27,ARULMANI M,Independent,564,4,568,0.05,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
28,THIYAGARAJAN R,Samaniya Makkal Nala Katchi,527,1,528,0.05,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
29,VENNILA S,Independent,520,8,528,0.05,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
30,KALIANNAN S,Independent,496,1,497,0.04,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
31,KANDASAMY P,Independent,475,5,480,0.04,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
32,MANIKKAM S,Ulzaipali Makkal Katchy,439,3,442,0.04,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
33,MOORTHI J,Independent,385,4,389,0.03,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
34,TAMILMANI A,Independent,352,2,354,0.03,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
35,SELVARAJ K R,Independent,301,2,303,0.03,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
36,SAKTHIVEL S,Independent,298,1,299,0.03,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
37,NETAJIKAVIARASU V,Independent,287,1,288,0.03,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
38,SIVAKUMAR V,Independent,244,2,246,0.02,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
39,MOORTHY V,Independent,220,2,222,0.02,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
40,GOPAL P,Independent,214,-,214,0.02,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
41,NOTA,None of the Above,12736,248,12984,1.13,16 - NAMAKKAL (Tamil Nadu),16 - NAMAKKAL,Tamil Nadu
1,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,526865,2029,528894,46.88,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
2,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,467452,2000,469452,41.61,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
3,AVINASH VISHWANATH BHOSIKAR,Vanchit Bahujan Aaghadi,92090,422,92512,8.2,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
4,PANDURANG RAMA ADGULWAR,Bahujan Samaj Party,6879,22,6901,0.61,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
5,NIKHIL LAXMANRAO GARJE,Independent,4320,5,4325,0.38,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
6,NAGESH SAMBHAJI GAIKWAD,Independent,3316,2,3318,0.29,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
7,BHASKAR CHAMPATRAO DOIFODE,Independent,2078,2,2080,0.18,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
8,SUSHILA NILKANTHRAO PAWAR,Samnak Janta Party,1873,17,1890,0.17,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
9,ABDUL RAIS AHEMAD,Desh Janhit Party,1508,2,1510,0.13,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
10,DEVIDAS GOVINDRAO INGLE,Independent,1466,5,1471,0.13,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
11,KALPANA SANJAY GAIKWAD,Independent,1305,5,1310,0.12,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
12,KAUSAR SULTANA,Indian National League,1211,4,1215,0.11,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
13,SAHEBRAO BHIVA GAJBHARE,Independent,1189,4,1193,0.11,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
14,JAGDISH LAXMAN POTRE,Independent,960,3,963,0.09,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
15,GAJANAN DATTRAMJI DHUMAL,Independent,948,2,950,0.08,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
16,LAXMAN NAGORAO PATIL,Independent,921,2,923,0.08,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
17,MAHARUDRA KESHAV POPLAITKAR,Independent,911,2,913,0.08,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
18,RUKMINBAI SHANKARRAO GITE,Bharatiya Praja Surajya Paksha,897,6,903,0.08,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
19,HARI PIRAJI BOYALE,Bahujan Bharat Party,877,1,878,0.08,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
20,RATHOD SURESH GOPINATH,Independent,806,2,808,0.07,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
21,KADAM SURAJ DEVENDRA,Independent,796,3,799,0.07,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
22,RAHUL SURYAKANT YANGADE,Bahujan Mukti Party,734,3,737,0.07,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
23,DNYANESHWAR RAOSAHEB KAPATE,Independent,679,2,681,0.06,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
24,NOTA,None of the Above,3579,49,3628,0.32,16 - Nanded (Maharashtra),16 - Nanded,Maharashtra
1,MAGUNTA SREENIVASULU REDDY,Telugu Desam,689829,12065,701894,49.35,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
2,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,644052,7643,651695,45.82,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
3,EDA SUDHAKARA REDDY,Indian National Congress,25803,919,26722,1.88,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
4,DHARANIKOTA LAKSHMI NARAYANA,Bahujan Samaj Party,6238,76,6314,0.44,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
5,BUCHI EDUKONDALU,Independent,3046,2,3048,0.21,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
6,PODILI RAMBABU,Independent,3035,38,3073,0.22,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
7,ORSU VEENA,Jai Bharat National Party,2242,25,2267,0.16,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
8,BONTHA RANGA REDDY,Independent,1923,-,1923,0.14,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
9,BODDU KRANTHI KUMAR,Independent,1797,1,1798,0.13,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
10,MOHAN GOUD J V,Independent,1442,5,1447,0.1,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
11,U MADHU BABU,Independent,1006,2,1008,0.07,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
12,KARATAPU RAJU,Independent,730,5,735,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
13,JAGADEESH RAYAPATI,Independent,713,12,725,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
14,DEVIREDDY BALANJANEYULU,Independent,710,6,716,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
15,HARI PRASAD TUPAKULA,Independent,706,5,711,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
16,PASAM VENKATESWARLU YADAV,Samajwadi Party,699,44,743,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
17,SURYA TEJA KOTA,Pyramid Party of India,674,9,683,0.05,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
18,AKUMALLA MALLIKARJUNA REDDY,Independent,575,-,575,0.04,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
19,VESHAPOGU GURAVABABU,Independent,457,4,461,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
20,KOMMU YOHANU,Liberation Congress Party,454,7,461,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
21,SESHUBABU GUDDANTI,Independent,449,-,449,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
22,SINGAMNENI SREEKANTH,Independent,407,3,410,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
23,YARRA DASARADHARAMAIAH,Independent,394,-,394,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
24,KOTA VAMSI KRISHNA,Independent,365,-,365,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
25,K PAVAN KALYAN,Jatiya Jana Sena Party,362,30,392,0.03,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
26,NOTA,None of the Above,13066,139,13205,0.93,16 - Ongole (Andhra Pradesh),16 - Ongole,Andhra Pradesh
1,VEENA DEVI,Lok Janshakti Party(Ram Vilas),566225,818,567043,48.38,16 - Vaishali (Bihar),16 - Vaishali,Bihar
2,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,476199,1210,477409,40.73,16 - Vaishali (Bihar),16 - Vaishali,Bihar
3,VIKKY KUMAR,Independent,34253,3,34256,2.92,16 - Vaishali (Bihar),16 - Vaishali,Bihar
4,SHAMBHU KUMAR SINGH,Bahujan Samaj Party,21367,69,21436,1.83,16 - Vaishali (Bihar),16 - Vaishali,Bihar
5,RAJ NARAYAN YADAV,Independent,9614,2,9616,0.8200000000000001,16 - Vaishali (Bihar),16 - Vaishali,Bihar
6,PARAMHANS SINGH,Independent,5316,1,5317,0.45,16 - Vaishali (Bihar),16 - Vaishali,Bihar
7,HARI NARAYAN RAM,Viro Ke Vir Indian Party,5097,3,5100,0.44,16 - Vaishali (Bihar),16 - Vaishali,Bihar
8,RAMESHWAR MAHTO,Bhartiya Sarthak Party,4141,9,4150,0.35,16 - Vaishali (Bihar),16 - Vaishali,Bihar
9,KUMAR SHISHIR,Independent,3903,4,3907,0.33,16 - Vaishali (Bihar),16 - Vaishali,Bihar
10,MUHAMAD AVAS,Independent,3758,-,3758,0.32,16 - Vaishali (Bihar),16 - Vaishali,Bihar
11,ABHA RAY,Peoples Party of India (Democratic),3263,11,3274,0.28,16 - Vaishali (Bihar),16 - Vaishali,Bihar
12,NARESH RAM,Socialist Unity Centre Of India (COMMUNIST),2998,11,3009,0.26,16 - Vaishali (Bihar),16 - Vaishali,Bihar
13,VINOD KUMAR SHARMA,Jantantra Awaj Party,2929,5,2934,0.25,16 - Vaishali (Bihar),16 - Vaishali,Bihar
14,ANIKET RAJ,Rashtriya Samaj Paksha,2018,7,2025,0.17,16 - Vaishali (Bihar),16 - Vaishali,Bihar
15,BALENDRA TIWARY,Hindustan Janta Party Secular,1360,6,1366,0.12,16 - Vaishali (Bihar),16 - Vaishali,Bihar
16,NOTA,None of the Above,27420,40,27460,2.34,16 - Vaishali (Bihar),16 - Vaishali,Bihar
1,KAKOLI GHOSH DASTIDAR,All India Trinamool Congress,689513,2497,692010,45.15,17 - Barasat (West Bengal),17 - Barasat,West Bengal
2,SWAPAN MAJUMDER,Bharatiya Janata Party,576024,1797,577821,37.7,17 - Barasat (West Bengal),17 - Barasat,West Bengal
3,TAPAS BANERJEE,All India Secular Front,121355,85,121440,7.92,17 - Barasat (West Bengal),17 - Barasat,West Bengal
4,SANJIB CHATTERJEE,All India Forward Bloc,99456,544,100000,6.52,17 - Barasat (West Bengal),17 - Barasat,West Bengal
5,SMRITIKANA HAOLADAR,Bahujan Samaj Party,5759,28,5787,0.38,17 - Barasat (West Bengal),17 - Barasat,West Bengal
6,SAIFUDDIN MONDAL,Independent,3823,4,3827,0.25,17 - Barasat (West Bengal),17 - Barasat,West Bengal
7,SWAPAN MAJUMDAR,Independent,3083,2,3085,0.2,17 - Barasat (West Bengal),17 - Barasat,West Bengal
8,S MUKHTAR AHMED,Independent,2639,8,2647,0.17,17 - Barasat (West Bengal),17 - Barasat,West Bengal
9,SEFALI DEY,Bharatiya Nyay-Adhikar Raksha Party,2244,8,2252,0.15,17 - Barasat (West Bengal),17 - Barasat,West Bengal
10,SADHAN GHOSH,Socialist Unity Centre Of India (COMMUNIST),2025,22,2047,0.13,17 - Barasat (West Bengal),17 - Barasat,West Bengal
11,BIKASH SARKAR,Mulnibasi Party of India,1928,1,1929,0.13,17 - Barasat (West Bengal),17 - Barasat,West Bengal
12,MOHAN LAL ADHIKARY,Independent,1850,14,1864,0.12,17 - Barasat (West Bengal),17 - Barasat,West Bengal
13,NOTA,None of the Above,17834,58,17892,1.17,17 - Barasat (West Bengal),17 - Barasat,West Bengal
1,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
2,RAVINDRA SINGH BHATI,Independent,581865,4635,586500,34.74,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
3,KAILASH CHOUDHARY,Bharatiya Janata Party,284527,2206,286733,16.99,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
4,TARARAM MEHNA,Independent,49768,189,49957,2.96,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
5,PRATAPA RAM,Independent,8282,36,8318,0.49,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
6,HANIPH,Independent,7755,5,7760,0.46,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
7,LEELA RAM,Bahujan Samaj Party,7557,28,7585,0.45,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
8,PRABHU RAM,Aazad Samaj Party (Kanshi Ram),6381,15,6396,0.38,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
9,RAMA RAM,Independent,6031,10,6041,0.36,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
10,POPAT LAL,Independent,3117,42,3159,0.19,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
11,DEVILAL JAIN,Independent,3016,7,3023,0.18,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
12,NOTA,None of the Above,17893,10,17903,1.06,17 - BARMER (Rajasthan),17 - BARMER,Rajasthan
1,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,760130,4002,764132,53.97,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
2,PADMARAJ.R.POOJARY,Indian National Congress,612103,2821,614924,43.43,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
3,KANTHAPPA ALANGAR,Bahujan Samaj Party,4202,30,4232,0.3,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
4,DURGA PRASAD,Karunada Sevakara Party,2578,14,2592,0.18,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
5,SUPREETH KUMAR POOJARY KATEEL,Independent,1884,17,1901,0.13,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
6,MAXIM PINTO,Independent,1654,36,1690,0.12,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
7,PRAJAAKEEYA MANOHARA,Uttama Prajaakeeya Party,964,7,971,0.07,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
8,DEEPAK RAJESH COELHO,Independent,950,26,976,0.07,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
9,RANJINI. M,Karnataka Rashtra Samithi,758,18,776,0.05,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
10,NOTA,None of the Above,23515,61,23576,1.67,17 - Dakshina Kannada (Karnataka),17 - Dakshina Kannada,Karnataka
1,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
2,ASHOK KUMAR,All India Anna Dravida Munnetra Kazhagam,323751,2022,325773,29.79,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
3,KARMEGAN M,Naam Tamilar Katchi,82332,464,82796,7.57,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
4,P VIJAYAKUMAR,Tamil Maanila Congress (Moopanar),77319,592,77911,7.13,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
5,P ESWARAN,Bahujan Samaj Party,5161,62,5223,0.48,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
6,T V R AMIRTHALINGAM,Independent,4118,31,4149,0.38,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
7,KEERTHANA M,Independent,3775,24,3799,0.35,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
8,J GOPALAKRISHNAN,Independent,1949,6,1955,0.18,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
9,S ANANTHI,Independent,1683,3,1686,0.15,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
10,PRASATH CHITRARASU,Independent,1629,11,1640,0.15,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
11,RAVICHANDRAN L,Independent,1378,2,1380,0.13,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
12,P RAJENDRAN,Independent,973,3,976,0.09,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
13,P KUPPUSAMY,Ulzaipali Makkal Katchy,945,5,950,0.09,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
14,M SHANMUGAM,Independent,768,4,772,0.07,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
15,R KUMARESAN,Independent,744,7,751,0.07,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
16,N ASHOK KUMAR,Independent,689,1,690,0.06,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
17,DHANALAKSHMI V,Naadaalum Makkal Katchi,675,4,679,0.06,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
18,A T MUNUSAMY,Samaniya Makkal Nala Katchi,611,5,616,0.06,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
19,K MAATHAN,Ganasangam Party of India,609,9,618,0.06,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
20,B DHARMARAJ,Anti Corruption Dynamic Party,597,4,601,0.05,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
21,ARUMUGA AC KANNAN,Independent,547,2,549,0.05,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
22,M SABARINATHAN,Independent,525,6,531,0.05,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
23,R DHANDAPANI,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,502,2,504,0.05,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
24,R KUMAR,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,424,8,432,0.04,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
25,R.MINNALMURUGESH,Independent,413,2,415,0.04,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
26,K K VADUGANATHAN,Independent,398,1,399,0.04,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
27,G MYLSAMY,Independent,301,-,301,0.03,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
28,MYLVAKANAN D -,Independent,276,3,279,0.03,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
29,M PRABAKARAN,Independent,274,2,276,0.03,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
30,NARENDRANATH,Independent,272,-,272,0.02,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
31,K SENTHIL KUMAR,Independent,177,1,178,0.02,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
32,NOTA,None of the Above,13742,241,13983,1.28,17 - ERODE (Tamil Nadu),17 - ERODE,Tamil Nadu
1,DR. ALOK KUMAR SUMAN,Janata Dal (United),510329,1537,511866,48.15,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
2,PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN,Vikassheel Insaan Party,383065,1621,384686,36.19,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
3,DINANATH MANJHI,All India Majlis-E-Ittehadul Muslimeen,29900,92,29992,2.8200000000000003,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
4,SUJEET KUMAR RAM,Bahujan Samaj Party,29145,127,29272,2.75,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
5,ANIL RAM,Independent,12988,14,13002,1.22,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
6,SATYENDRA BAITHA,Independent,12253,16,12269,1.15,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
7,BHOLA HARIJAN,Independent,11138,2,11140,1.05,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
8,RAM KUMAR MANJHI,Gana Suraksha Party,8531,9,8540,0.8,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
9,NAMI RAM,Independent,6716,-,6716,0.63,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
10,SURENDRA RAM,Bhartiya Rashtriya Dal,6673,39,6712,0.63,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
11,JITENDRA RAM,Bahujan Mukti Party,5942,27,5969,0.56,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
12,NOTA,None of the Above,42713,150,42863,4.03,17 - Gopalganj (Bihar),17 - Gopalganj,Bihar
1,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,810529,1618,812147,64.99,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
2,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,379868,583,380451,30.44,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
3,RAMGOVIND BARUAA,Bahujan Samaj Party,15344,43,15387,1.23,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
4,PANDIT DIVYENDRA BRIJMOHAN DUBEY ADVOCATE,Bharatiya Yuva Jan Ekta Party,6157,11,6168,0.49,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
5,RAKESH RAMPRASAD RICKY,Independent,5071,8,5079,0.41,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
6,SARJERAO SAHARE,Independent,4487,6,4493,0.36,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
7,PATRAKAR TILAK JATAV,Independent,2257,3,2260,0.18,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
8,YUVRAJ GAVADE,Independent,2205,10,2215,0.18,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
9,JYOTI SURESH JHARIYA,Independent,2033,13,2046,0.16,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
10,MAKHAN SINGH LODHI,Bhartiya Shakti Chetna Party,1651,6,1657,0.13,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
11,MUKESH YADAV,Independent,1578,10,1588,0.13,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
12,PANDIT BRAJESH KHEMARIYA,Independent,1251,9,1260,0.1,17 - HOSHANGABAD (Madhya Pradesh),17 - HOSHANGABAD,Madhya Pradesh
